web-scraper-order,web-scraper-start-url,nama,harga,gambar-src
"1520908771-119","https://bkdelivery.co.id/order-online/menu","Single BBQ…","RP27272",""
"1520908771-127","https://bkdelivery.co.id/order-online/menu","Tendercrisp…","RP25909",""
"1520908771-92","https://bkdelivery.co.id/order-online/menu","2 Pcs Crispy…","RP39545",""
"1520908771-89","https://bkdelivery.co.id/order-online/menu","Double…","RP49545",""
"1520908771-118","https://bkdelivery.co.id/order-online/menu","Double…","RP37272",""
"1520908771-120","https://bkdelivery.co.id/order-online/menu","Double BBQ…","RP37272",""
"1520908771-114","https://bkdelivery.co.id/order-online/menu","French Fries","RP8636",""
"1520908771-115","https://bkdelivery.co.id/order-online/menu","Cheesy Rasher…","RP13636",""
"1520908771-128","https://bkdelivery.co.id/order-online/menu","Quattro Cheese…","RP35909",""
"1520908771-79","https://bkdelivery.co.id/order-online/menu","Whopper® Meal","RP49545",""
"1520908771-107","https://bkdelivery.co.id/order-online/menu","Blackpepper 4…","RP48182",""
"1520908771-83","https://bkdelivery.co.id/order-online/menu","Double BBQ…","RP49545",""
"1520908771-123","https://bkdelivery.co.id/order-online/menu","Whopper® Jr.…","RP27272",""
"1520908771-140","https://bkdelivery.co.id/order-online/menu","Coke Zero Can","RP11818",""
"1520908771-102","https://bkdelivery.co.id/order-online/menu","Chili 4 Cheese…","RP59091",""
"1520908771-131","https://bkdelivery.co.id/order-online/menu","Coke","RP7273",""
"1520908771-109","https://bkdelivery.co.id/order-online/menu","Chicken Nuggets","RP18182",""
"1520908771-110","https://bkdelivery.co.id/order-online/menu","Chicken Wings","RP9091",""
"1520908771-93","https://bkdelivery.co.id/order-online/menu","Tendercrisp™…","RP55545",""
"1520908771-144","https://bkdelivery.co.id/order-online/menu","King Deal BK…","RP25000",""
"1520908771-111","https://bkdelivery.co.id/order-online/menu","Crispy Chicken","RP15909",""
"1520908771-70","https://bkdelivery.co.id/order-online/menu","Paket Delivery 4","RP100000",""
"1520908771-145","https://bkdelivery.co.id/order-online/menu","King Deal 1 Pc…","RP25000",""
"1520908771-106","https://bkdelivery.co.id/order-online/menu","Chili 4 Cheese…","RP48182",""
"1520908771-86","https://bkdelivery.co.id/order-online/menu","Cheeseburger…","RP33182",""
"1520908771-91","https://bkdelivery.co.id/order-online/menu","Quattro Cheese…","RP50000",""
"1520908771-99","https://bkdelivery.co.id/order-online/menu","Mozzarella…","RP29091",""
"1520908771-84","https://bkdelivery.co.id/order-online/menu","Cheese Burger…","RP49545",""
"1520908771-129","https://bkdelivery.co.id/order-online/menu","Tendercrisp…","RP48182",""
"1520908771-143","https://bkdelivery.co.id/order-online/menu","King Deal…","RP25000",""
"1520908771-100","https://bkdelivery.co.id/order-online/menu","Mozzarella…","RP48182",""
"1520908771-113","https://bkdelivery.co.id/order-online/menu","Rice","RP6364",""
"1520908771-88","https://bkdelivery.co.id/order-online/menu","Whopper®…","RP65909",""
"1520908771-96","https://bkdelivery.co.id/order-online/menu","King Jr.™ Kids…","RP26364",""
"1520908771-94","https://bkdelivery.co.id/order-online/menu","Tendercrisp™…","RP52727",""
"1520908771-134","https://bkdelivery.co.id/order-online/menu","Lemon Tea","RP10000",""
"1520908771-71","https://bkdelivery.co.id/order-online/menu","Double…","RP69545",""
"1520908771-133","https://bkdelivery.co.id/order-online/menu","Sprite","RP7273",""
"1520908771-138","https://bkdelivery.co.id/order-online/menu","Cold Sjora…","RP11818",""
"1520908771-117","https://bkdelivery.co.id/order-online/menu","Single…","RP27272",""
"1520908771-124","https://bkdelivery.co.id/order-online/menu","Whopper®…","RP53636",""
"1520908771-146","https://bkdelivery.co.id/order-online/menu","Chicken Box","RP54545",""
"1520908771-80","https://bkdelivery.co.id/order-online/menu","Single…","RP39545",""
"1520908771-101","https://bkdelivery.co.id/order-online/menu","4 Cheese XL…","RP59091",""
"1520908771-76","https://bkdelivery.co.id/order-online/menu","Quattro Cheese…","RP48182",""
"1520908771-135","https://bkdelivery.co.id/order-online/menu","Jasmine Tea","RP7273",""
"1520908771-73","https://bkdelivery.co.id/order-online/menu","Steakhouse…","RP59545",""
"1520908771-136","https://bkdelivery.co.id/order-online/menu","Cold Milo","RP12273",""
"1520908771-141","https://bkdelivery.co.id/order-online/menu","King Deal…","RP25000",""
"1520908771-74","https://bkdelivery.co.id/order-online/menu","Mushroom…","RP55909",""
"1520908771-112","https://bkdelivery.co.id/order-online/menu","Cheesy Fries","RP10909",""
"1520908771-108","https://bkdelivery.co.id/order-online/menu","BBQ 4 Cheese…","RP48182",""
"1520908771-75","https://bkdelivery.co.id/order-online/menu","Double…","RP57272",""
"1520908771-132","https://bkdelivery.co.id/order-online/menu","Fanta","RP7273",""
"1520908771-97","https://bkdelivery.co.id/order-online/menu","Mozzarella…","RP42727",""
"1520908771-116","https://bkdelivery.co.id/order-online/menu","Whopper®","RP38636",""
"1520908771-137","https://bkdelivery.co.id/order-online/menu","Minute Maid…","RP10909",""
"1520908771-105","https://bkdelivery.co.id/order-online/menu","4 Cheese XL…","RP48182",""
"1520908771-125","https://bkdelivery.co.id/order-online/menu","Double…","RP37272",""
"1520908771-68","https://bkdelivery.co.id/order-online/menu","Paket Delivery 2","RP127273",""
"1520908771-81","https://bkdelivery.co.id/order-online/menu","Double …","RP49545",""
"1520908771-72","https://bkdelivery.co.id/order-online/menu","Quattro Cheese…","RP59545",""
"1520908771-95","https://bkdelivery.co.id/order-online/menu","King Jr.™ Kids…","RP26364",""
"1520908771-87","https://bkdelivery.co.id/order-online/menu","Whopper® Jr.…","RP39545",""
"1520908771-69","https://bkdelivery.co.id/order-online/menu","Paket Delivery 3","RP113637",""
"1520908771-67","https://bkdelivery.co.id/order-online/menu","Paket Delivery 1","RP72727",""
"1520908771-139","https://bkdelivery.co.id/order-online/menu","Mineral Water","RP8182",""
"1520908771-82","https://bkdelivery.co.id/order-online/menu","Single BBQ…","RP39545",""
"1520908771-103","https://bkdelivery.co.id/order-online/menu","Blackpepper 4…","RP59091",""
"1520908771-66","https://bkdelivery.co.id/order-online/menu","Dobel Deal","RP30000",""
"1520908771-65","https://bkdelivery.co.id/order-online/menu","Deal of The…","RP80000",""
"1520908771-85","https://bkdelivery.co.id/order-online/menu","Double Cheese…","RP41818",""
"1520908771-121","https://bkdelivery.co.id/order-online/menu","Cheese Burger …","RP38636",""
"1520908771-122","https://bkdelivery.co.id/order-online/menu","Double Cheese…","RP32273",""
"1520908771-90","https://bkdelivery.co.id/order-online/menu","Tendercrisp™…","RP40000",""
"1520908771-77","https://bkdelivery.co.id/order-online/menu","Steakhouse…","RP49091",""
"1520908771-98","https://bkdelivery.co.id/order-online/menu","Mozzarella…","RP59091",""
"1520908771-104","https://bkdelivery.co.id/order-online/menu","BBQ 4 Cheese…","RP59091",""
"1520908771-130","https://bkdelivery.co.id/order-online/menu","Tendercrisp…","RP48182",""
"1520908771-142","https://bkdelivery.co.id/order-online/menu","King Deal King…","RP25000",""
"1520908771-126","https://bkdelivery.co.id/order-online/menu","Cheese Burger","RP17727",""
"1520908771-78","https://bkdelivery.co.id/order-online/menu","Mushroom…","RP49545",""
