web-scraper-order,web-scraper-start-url,name,harga
"1520912415-396","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Chicken Over Rice","Rp. 55,000"
"1520912415-400","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Falafel and Chicken Over Rice","Rp. 55,000"
"1520912415-405","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Cookies Monster","Rp. 15,000"
"1520912415-398","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Chicken and Lamb Over Rice","Rp. 55,000"
"1520912415-403","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","French Fries","Rp. 15,000"
"1520912415-401","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Duck Over Rice","Rp. 55,000"
"1520912415-402","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Popcorn Chicken","Rp. 20,000"
"1520912415-397","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Lamb Over Rice","Rp. 55,000"
"1520912415-399","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Falafel Over Rice","Rp. 55,000"
"1520912415-404","https://www.pumasera.com/content/restaurant/detail/the-halal-bros","Nutella Wrap","Rp. 18,000"
